uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,10
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,13
DF,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,1
DF,PNEUMONIA,DOMICILIO,"30 - 39",F,1
DF,PNEUMONIA,HOSPITAL,"30 - 39",F,26
DF,PNEUMONIA,HOSPITAL,"30 - 39",M,30
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
DF,SEPTICEMIA,DOMICILIO,"30 - 39",M,1
DF,SEPTICEMIA,HOSPITAL,"30 - 39",F,28
DF,SEPTICEMIA,HOSPITAL,"30 - 39",M,21
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
DF,SRAG,HOSPITAL,"30 - 39",F,1
ES,OUTRAS,DOMICILIO,"30 - 39",F,34
ES,OUTRAS,DOMICILIO,"30 - 39",M,58
ES,OUTRAS,HOSPITAL,"30 - 39",F,93
ES,OUTRAS,HOSPITAL,"30 - 39",M,133
ES,OUTRAS,IGNORADO,"30 - 39",M,1
ES,OUTRAS,OUTRO,"30 - 39",F,4
ES,OUTRAS,OUTRO,"30 - 39",M,37
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,5
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,12
ES,OUTRAS,VIA_PUBLICA,"30 - 39",F,4
ES,OUTRAS,VIA_PUBLICA,"30 - 39",M,54
ES,COVID,DOMICILIO,"30 - 39",M,3
ES,COVID,HOSPITAL,"30 - 39",F,45
ES,COVID,HOSPITAL,"30 - 39",M,63
ES,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
ES,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,10
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,10
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
ES,PNEUMONIA,DOMICILIO,"30 - 39",M,3
ES,PNEUMONIA,HOSPITAL,"30 - 39",F,21
ES,PNEUMONIA,HOSPITAL,"30 - 39",M,38
ES,PNEUMONIA,OUTRO,"30 - 39",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,3
ES,SEPTICEMIA,DOMICILIO,"30 - 39",F,2
ES,SEPTICEMIA,HOSPITAL,"30 - 39",F,43
ES,SEPTICEMIA,HOSPITAL,"30 - 39",M,39
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
ES,SRAG,HOSPITAL,"30 - 39",F,2
ES,SRAG,HOSPITAL,"30 - 39",M,1
ES,SRAG,IGNORADO,"30 - 39",F,1
GO,OUTRAS,DOMICILIO,"30 - 39",F,26
GO,OUTRAS,DOMICILIO,"30 - 39",M,81
GO,OUTRAS,HOSPITAL,"30 - 39",F,109
GO,OUTRAS,HOSPITAL,"30 - 39",I,1
GO,OUTRAS,HOSPITAL,"30 - 39",M,148
GO,OUTRAS,IGNORADO,"30 - 39",F,3
GO,OUTRAS,IGNORADO,"30 - 39",M,8
GO,OUTRAS,OUTRO,"30 - 39",F,3
GO,OUTRAS,OUTRO,"30 - 39",M,52
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,25
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,26
GO,OUTRAS,VIA_PUBLICA,"30 - 39",F,8
GO,OUTRAS,VIA_PUBLICA,"30 - 39",M,41
GO,COVID,DOMICILIO,"30 - 39",F,2
GO,COVID,DOMICILIO,"30 - 39",M,2
GO,COVID,HOSPITAL,"30 - 39",F,61
GO,COVID,HOSPITAL,"30 - 39",M,109
GO,COVID,IGNORADO,"30 - 39",F,1
GO,COVID,IGNORADO,"30 - 39",M,1
GO,COVID,OUTRO,"30 - 39",M,3
GO,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,8
GO,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,12
GO,INDETERMINADA,DOMICILIO,"30 - 39",F,1
GO,INDETERMINADA,DOMICILIO,"30 - 39",M,3
GO,INDETERMINADA,HOSPITAL,"30 - 39",M,3
GO,INDETERMINADA,OUTRO,"30 - 39",F,1
GO,INDETERMINADA,OUTRO,"30 - 39",M,2
GO,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,5
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,7
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,44
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,32
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",F,2
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,5
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"30 - 39",M,1
GO,PNEUMONIA,DOMICILIO,"30 - 39",F,3
GO,PNEUMONIA,DOMICILIO,"30 - 39",M,1
GO,PNEUMONIA,HOSPITAL,"30 - 39",F,28
GO,PNEUMONIA,HOSPITAL,"30 - 39",M,45
GO,PNEUMONIA,IGNORADO,"30 - 39",F,1
GO,PNEUMONIA,IGNORADO,"30 - 39",M,2
GO,PNEUMONIA,OUTRO,"30 - 39",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,5
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,3
GO,SEPTICEMIA,DOMICILIO,"30 - 39",F,1
GO,SEPTICEMIA,DOMICILIO,"30 - 39",M,2
GO,SEPTICEMIA,HOSPITAL,"30 - 39",F,31
GO,SEPTICEMIA,HOSPITAL,"30 - 39",M,53
GO,SEPTICEMIA,IGNORADO,"30 - 39",F,2
GO,SEPTICEMIA,OUTRO,"30 - 39",F,1
GO,SEPTICEMIA,OUTRO,"30 - 39",M,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,4
GO,SRAG,HOSPITAL,"30 - 39",F,2
GO,SRAG,HOSPITAL,"30 - 39",M,6
MA,OUTRAS,DOMICILIO,"30 - 39",F,36
MA,OUTRAS,DOMICILIO,"30 - 39",M,87
MA,OUTRAS,HOSPITAL,"30 - 39",F,137
MA,OUTRAS,HOSPITAL,"30 - 39",M,173
MA,OUTRAS,IGNORADO,"30 - 39",M,1
MA,OUTRAS,OUTRO,"30 - 39",F,6
MA,OUTRAS,OUTRO,"30 - 39",M,33
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,3
MA,OUTRAS,VIA_PUBLICA,"30 - 39",F,4
MA,OUTRAS,VIA_PUBLICA,"30 - 39",M,34
MA,COVID,DOMICILIO,"30 - 39",F,1
MA,COVID,DOMICILIO,"30 - 39",M,2
MA,COVID,HOSPITAL,"30 - 39",F,37
MA,COVID,HOSPITAL,"30 - 39",M,36
MA,COVID,OUTRO,"30 - 39",F,1
MA,COVID,OUTRO,"30 - 39",M,2
MA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
MA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MA,COVID,VIA_PUBLICA,"30 - 39",M,2
MA,INDETERMINADA,DOMICILIO,"30 - 39",F,2
MA,INDETERMINADA,DOMICILIO,"30 - 39",M,5
MA,INDETERMINADA,HOSPITAL,"30 - 39",F,6
MA,INDETERMINADA,HOSPITAL,"30 - 39",M,4
MA,INDETERMINADA,OUTRO,"30 - 39",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,4
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,27
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,39
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"30 - 39",M,3
MA,PNEUMONIA,DOMICILIO,"30 - 39",M,3
MA,PNEUMONIA,HOSPITAL,"30 - 39",F,23
MA,PNEUMONIA,HOSPITAL,"30 - 39",M,36
MA,PNEUMONIA,OUTRO,"30 - 39",F,2
MA,PNEUMONIA,OUTRO,"30 - 39",M,2
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
MA,PNEUMONIA,VIA_PUBLICA,"30 - 39",M,1
MA,SEPTICEMIA,DOMICILIO,"30 - 39",F,1
MA,SEPTICEMIA,HOSPITAL,"30 - 39",F,33
MA,SEPTICEMIA,HOSPITAL,"30 - 39",M,34
MA,SEPTICEMIA,OUTRO,"30 - 39",F,1
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
MA,SRAG,DOMICILIO,"30 - 39",F,1
MA,SRAG,DOMICILIO,"30 - 39",M,1
MA,SRAG,HOSPITAL,"30 - 39",F,6
MA,SRAG,HOSPITAL,"30 - 39",M,13
MG,OUTRAS,DOMICILIO,"30 - 39",F,152
MG,OUTRAS,DOMICILIO,"30 - 39",M,328
MG,OUTRAS,HOSPITAL,"30 - 39",F,439
MG,OUTRAS,HOSPITAL,"30 - 39",M,591
MG,OUTRAS,IGNORADO,"30 - 39",F,23
MG,OUTRAS,IGNORADO,"30 - 39",M,46
MG,OUTRAS,OUTRO,"30 - 39",F,21
MG,OUTRAS,OUTRO,"30 - 39",M,100
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,52
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,109
MG,OUTRAS,VIA_PUBLICA,"30 - 39",F,16
MG,OUTRAS,VIA_PUBLICA,"30 - 39",M,122
MG,COVID,DOMICILIO,"30 - 39",F,5
MG,COVID,DOMICILIO,"30 - 39",M,3
MG,COVID,HOSPITAL,"30 - 39",F,92
MG,COVID,HOSPITAL,"30 - 39",M,133
MG,COVID,IGNORADO,"30 - 39",F,4
MG,COVID,IGNORADO,"30 - 39",M,3
MG,COVID,OUTRO,"30 - 39",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,11
MG,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,9
MG,COVID,VIA_PUBLICA,"30 - 39",F,1
MG,INDETERMINADA,DOMICILIO,"30 - 39",F,9
MG,INDETERMINADA,DOMICILIO,"30 - 39",M,20
MG,INDETERMINADA,HOSPITAL,"30 - 39",F,12
MG,INDETERMINADA,HOSPITAL,"30 - 39",M,6
MG,INDETERMINADA,IGNORADO,"30 - 39",F,2
MG,INDETERMINADA,IGNORADO,"30 - 39",M,2
MG,INDETERMINADA,OUTRO,"30 - 39",F,4
MG,INDETERMINADA,OUTRO,"30 - 39",M,13
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,4
MG,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,5
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,8
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,9
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,75
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,74
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"30 - 39",F,2
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"30 - 39",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,8
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,5
MG,PNEUMONIA,DOMICILIO,"30 - 39",F,2
MG,PNEUMONIA,DOMICILIO,"30 - 39",M,8
MG,PNEUMONIA,HOSPITAL,"30 - 39",F,76
MG,PNEUMONIA,HOSPITAL,"30 - 39",M,131
MG,PNEUMONIA,IGNORADO,"30 - 39",F,4
MG,PNEUMONIA,IGNORADO,"30 - 39",M,3
MG,PNEUMONIA,OUTRO,"30 - 39",F,1
MG,PNEUMONIA,OUTRO,"30 - 39",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,4
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,9
MG,SEPTICEMIA,DOMICILIO,"30 - 39",M,5
MG,SEPTICEMIA,HOSPITAL,"30 - 39",F,163
MG,SEPTICEMIA,HOSPITAL,"30 - 39",M,167
MG,SEPTICEMIA,IGNORADO,"30 - 39",F,3
MG,SEPTICEMIA,IGNORADO,"30 - 39",M,2
MG,SEPTICEMIA,OUTRO,"30 - 39",M,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,7
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,9
MG,SEPTICEMIA,VIA_PUBLICA,"30 - 39",M,1
MG,SRAG,HOSPITAL,"30 - 39",F,5
MG,SRAG,HOSPITAL,"30 - 39",M,10
MG,SRAG,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
MG,SRAG,OUTROS_SERVICOS_SAUDE,"30 - 39",M,3
MS,OUTRAS,DOMICILIO,"30 - 39",F,19
MS,OUTRAS,DOMICILIO,"30 - 39",M,42
MS,OUTRAS,HOSPITAL,"30 - 39",F,55
MS,OUTRAS,HOSPITAL,"30 - 39",M,83
MS,OUTRAS,OUTRO,"30 - 39",M,17
MS,OUTRAS,POSTO_SAUDE,"30 - 39",M,2
MS,OUTRAS,VIA_PUBLICA,"30 - 39",F,2
MS,OUTRAS,VIA_PUBLICA,"30 - 39",M,26
MS,COVID,HOSPITAL,"30 - 39",F,26
MS,COVID,HOSPITAL,"30 - 39",M,20
MS,INDETERMINADA,DOMICILIO,"30 - 39",F,1
MS,INDETERMINADA,DOMICILIO,"30 - 39",M,1
MS,INDETERMINADA,HOSPITAL,"30 - 39",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,2
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,12
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,20
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,2
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"30 - 39",F,2
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"30 - 39",M,1
MS,PNEUMONIA,DOMICILIO,"30 - 39",M,4
MS,PNEUMONIA,HOSPITAL,"30 - 39",F,19
MS,PNEUMONIA,HOSPITAL,"30 - 39",M,30
MS,SEPTICEMIA,DOMICILIO,"30 - 39",F,1
MS,SEPTICEMIA,DOMICILIO,"30 - 39",M,1
MS,SEPTICEMIA,HOSPITAL,"30 - 39",F,19
MS,SEPTICEMIA,HOSPITAL,"30 - 39",M,24
MS,SRAG,HOSPITAL,"30 - 39",F,1
MS,SRAG,HOSPITAL,"30 - 39",M,2
MT,OUTRAS,DOMICILIO,"30 - 39",F,6
MT,OUTRAS,DOMICILIO,"30 - 39",M,21
MT,OUTRAS,HOSPITAL,"30 - 39",F,29
MT,OUTRAS,HOSPITAL,"30 - 39",M,56
MT,OUTRAS,IGNORADO,"30 - 39",F,76
MT,OUTRAS,IGNORADO,"30 - 39",M,157
MT,OUTRAS,OUTRO,"30 - 39",F,5
MT,OUTRAS,OUTRO,"30 - 39",M,20
MT,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
MT,OUTRAS,VIA_PUBLICA,"30 - 39",F,2
MT,OUTRAS,VIA_PUBLICA,"30 - 39",M,7
MT,COVID,HOSPITAL,"30 - 39",F,22
MT,COVID,HOSPITAL,"30 - 39",M,32
MT,COVID,IGNORADO,"30 - 39",F,14
MT,COVID,IGNORADO,"30 - 39",M,31
MT,INDETERMINADA,DOMICILIO,"30 - 39",F,1
MT,INDETERMINADA,IGNORADO,"30 - 39",M,1
MT,INDETERMINADA,OUTRO,"30 - 39",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,3
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"30 - 39",F,1
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"30 - 39",M,3
MT,PNEUMONIA,DOMICILIO,"30 - 39",M,1
MT,PNEUMONIA,HOSPITAL,"30 - 39",F,7
MT,PNEUMONIA,HOSPITAL,"30 - 39",M,9
MT,PNEUMONIA,IGNORADO,"30 - 39",F,3
MT,PNEUMONIA,IGNORADO,"30 - 39",M,3
MT,SEPTICEMIA,HOSPITAL,"30 - 39",F,9
MT,SEPTICEMIA,HOSPITAL,"30 - 39",M,11
MT,SEPTICEMIA,IGNORADO,"30 - 39",F,9
MT,SEPTICEMIA,IGNORADO,"30 - 39",M,6
PA,OUTRAS,AMBULANCIA,"30 - 39",M,1
PA,OUTRAS,DOMICILIO,"30 - 39",F,44
PA,OUTRAS,DOMICILIO,"30 - 39",M,82
PA,OUTRAS,HOSPITAL,"30 - 39",F,109
PA,OUTRAS,HOSPITAL,"30 - 39",I,1
PA,OUTRAS,HOSPITAL,"30 - 39",M,166
PA,OUTRAS,IGNORADO,"30 - 39",F,1
PA,OUTRAS,IGNORADO,"30 - 39",M,4
PA,OUTRAS,OUTRO,"30 - 39",F,18
PA,OUTRAS,OUTRO,"30 - 39",M,49
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,6
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,20
PA,OUTRAS,VIA_PUBLICA,"30 - 39",F,8
PA,OUTRAS,VIA_PUBLICA,"30 - 39",M,79
PA,COVID,DOMICILIO,"30 - 39",F,3
PA,COVID,DOMICILIO,"30 - 39",M,2
PA,COVID,HOSPITAL,"30 - 39",F,58
PA,COVID,HOSPITAL,"30 - 39",M,90
PA,COVID,OUTRO,"30 - 39",F,2
PA,COVID,OUTRO,"30 - 39",M,5
PA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
PA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,5
PA,INDETERMINADA,DOMICILIO,"30 - 39",F,2
PA,INDETERMINADA,HOSPITAL,"30 - 39",F,2
PA,INDETERMINADA,OUTRO,"30 - 39",F,1
PA,INDETERMINADA,OUTRO,"30 - 39",M,1
PA,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,7
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,7
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,39
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,40
PA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"30 - 39",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,7
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"30 - 39",M,2
PA,PNEUMONIA,DOMICILIO,"30 - 39",M,5
PA,PNEUMONIA,HOSPITAL,"30 - 39",F,34
PA,PNEUMONIA,HOSPITAL,"30 - 39",M,61
PA,PNEUMONIA,OUTRO,"30 - 39",M,2
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,7
PA,PNEUMONIA,VIA_PUBLICA,"30 - 39",M,2
PA,SEPTICEMIA,DOMICILIO,"30 - 39",F,2
PA,SEPTICEMIA,DOMICILIO,"30 - 39",M,4
PA,SEPTICEMIA,HOSPITAL,"30 - 39",F,37
PA,SEPTICEMIA,HOSPITAL,"30 - 39",M,43
PA,SEPTICEMIA,OUTRO,"30 - 39",M,2
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,4
PA,SEPTICEMIA,VIA_PUBLICA,"30 - 39",F,1
PA,SRAG,DOMICILIO,"30 - 39",F,1
PA,SRAG,DOMICILIO,"30 - 39",M,3
PA,SRAG,HOSPITAL,"30 - 39",F,11
PA,SRAG,HOSPITAL,"30 - 39",M,13
PB,OUTRAS,DOMICILIO,"30 - 39",F,37
PB,OUTRAS,DOMICILIO,"30 - 39",M,88
PB,OUTRAS,HOSPITAL,"30 - 39",F,78
PB,OUTRAS,HOSPITAL,"30 - 39",M,116
PB,OUTRAS,OUTRO,"30 - 39",F,1
PB,OUTRAS,OUTRO,"30 - 39",M,19
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,4
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,8
PB,OUTRAS,VIA_PUBLICA,"30 - 39",F,3
PB,OUTRAS,VIA_PUBLICA,"30 - 39",M,32
PB,COVID,DOMICILIO,"30 - 39",F,1
PB,COVID,HOSPITAL,"30 - 39",F,25
PB,COVID,HOSPITAL,"30 - 39",M,57
PB,COVID,OUTRO,"30 - 39",M,1
PB,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
PB,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
PB,COVID,POSTO_SAUDE,"30 - 39",M,1
PB,COVID,VIA_PUBLICA,"30 - 39",M,1
PB,INDETERMINADA,DOMICILIO,"30 - 39",F,1
PB,INDETERMINADA,DOMICILIO,"30 - 39",M,4
PB,INDETERMINADA,HOSPITAL,"30 - 39",F,2
PB,INDETERMINADA,OUTRO,"30 - 39",M,1
PB,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
PB,INDETERMINADA,POSTO_SAUDE,"30 - 39",F,1
PB,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,4
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,6
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,20
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,20
PB,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",F,2
PB,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,3
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
PB,PNEUMONIA,DOMICILIO,"30 - 39",M,2
PB,PNEUMONIA,HOSPITAL,"30 - 39",F,23
PB,PNEUMONIA,HOSPITAL,"30 - 39",M,31
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,4
PB,SEPTICEMIA,DOMICILIO,"30 - 39",M,2
PB,SEPTICEMIA,HOSPITAL,"30 - 39",F,25
PB,SEPTICEMIA,HOSPITAL,"30 - 39",M,38
PB,SRAG,HOSPITAL,"30 - 39",F,6
PB,SRAG,HOSPITAL,"30 - 39",M,9
PE,OUTRAS,DOMICILIO,"30 - 39",F,69
PE,OUTRAS,DOMICILIO,"30 - 39",M,188
PE,OUTRAS,HOSPITAL,"30 - 39",F,199
PE,OUTRAS,HOSPITAL,"30 - 39",M,383
PE,OUTRAS,IGNORADO,"30 - 39",M,10
PE,OUTRAS,OUTRO,"30 - 39",F,14
PE,OUTRAS,OUTRO,"30 - 39",M,89
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,10
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,25
PE,OUTRAS,POSTO_SAUDE,"30 - 39",F,1
PE,OUTRAS,VIA_PUBLICA,"30 - 39",F,29
PE,OUTRAS,VIA_PUBLICA,"30 - 39",M,181
PE,COVID,HOSPITAL,"30 - 39",F,81
PE,COVID,HOSPITAL,"30 - 39",M,108
PE,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
PE,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,5
PE,INDETERMINADA,DOMICILIO,"30 - 39",F,3
PE,INDETERMINADA,DOMICILIO,"30 - 39",M,5
PE,INDETERMINADA,HOSPITAL,"30 - 39",M,3
PE,INDETERMINADA,OUTRO,"30 - 39",M,2
PE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
PE,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,2
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,9
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,5
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,41
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,36
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
PE,PNEUMONIA,DOMICILIO,"30 - 39",F,2
PE,PNEUMONIA,DOMICILIO,"30 - 39",M,6
PE,PNEUMONIA,HOSPITAL,"30 - 39",F,31
PE,PNEUMONIA,HOSPITAL,"30 - 39",M,57
PE,PNEUMONIA,IGNORADO,"30 - 39",M,1
PE,PNEUMONIA,OUTRO,"30 - 39",F,1
PE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,4
PE,PNEUMONIA,VIA_PUBLICA,"30 - 39",M,1
PE,SEPTICEMIA,DOMICILIO,"30 - 39",F,7
PE,SEPTICEMIA,DOMICILIO,"30 - 39",M,4
PE,SEPTICEMIA,HOSPITAL,"30 - 39",F,85
PE,SEPTICEMIA,HOSPITAL,"30 - 39",M,132
PE,SEPTICEMIA,OUTRO,"30 - 39",M,1
PE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
PE,SRAG,DOMICILIO,"30 - 39",F,2
PE,SRAG,DOMICILIO,"30 - 39",M,3
PE,SRAG,HOSPITAL,"30 - 39",F,44
PE,SRAG,HOSPITAL,"30 - 39",M,63
PE,SRAG,OUTROS_SERVICOS_SAUDE,"30 - 39",F,4
